,tpv medio,segmento_ord,mcc_ord,bairro_ord,cidade_ord,regiao_ord,uf_ord,subcanal_de_vendas_ord,prob_default_60d,prob_default_mar,estimativa_limite,estimativa_juros_parcelados,estimativa_juros_rotativo
3445,12000.0,4,72,363,385,3,14,2,0.9606775890499913,0.9477176351210147,10265.299,5.1065974,12.766493558883667
3446,19000.0,21,108,1406,349,3,15,2,0.4220550326778862,0.6004066867164418,23990.69,3.516465,8.791162371635437
3447,12500.0,3,76,971,361,3,19,2,0.9492930358843198,0.9296327139369388,9890.1,5.76189,14.404724836349487
3448,20000.0,21,108,1461,282,3,15,2,0.7758884422637143,0.9462723280965349,16248.306,3.2244165,8.061041235923767
3449,35000.0,21,108,1295,390,3,14,2,0.9312458739016357,0.9363844133583076,35311.29,3.0432878,7.608219385147095
3450,35000.0,14,87,878,367,5,4,2,0.8310621275861437,0.9011453727205495,32527.203,2.7298412,6.824603080749512
3451,55000.0,13,98,1483,546,3,19,4,0.8990599380780102,0.6183409690288872,44464.367,2.3428452,5.857113003730774
3452,20000.0,13,98,93,462,1,7,2,0.9658885632255827,0.9618070249501018,15677.567,4.442854,11.107134819030762
3453,70000.0,24,113,722,426,3,14,2,0.9116415913139905,0.9227439260066191,66732.33,1.9874706,4.968676567077637
3454,20000.0,14,87,1297,218,4,17,1,0.8746409854881824,0.9460295854487907,19224.445,4.4490967,11.12274169921875
3455,40000.0,17,94,1360,395,5,21,2,0.8008246890511533,0.8578803924540228,37031.832,2.989452,7.473629713058472
3456,25000.0,20,101,1346,395,5,21,2,0.6532592963014614,0.7289476553406856,26320.615,2.2818437,5.704609155654907
3457,25000.0,17,114,1347,387,5,9,2,0.6850638902287378,0.6320850632198917,25560.988,4.344777,10.861942768096924
3458,20000.0,17,114,1544,475,3,14,2,0.8469462608629067,0.5063587241499606,22447.94,4.448307,11.120767593383789
3459,15000.0,14,121,1295,74,1,8,2,0.9271157706965387,0.9212634704111281,14901.493,4.0227137,10.05678415298462
3460,20000.0,13,91,671,339,3,15,2,0.9666305316992639,0.9665822974217716,17917.15,3.5885477,8.97136926651001
3461,21000.0,21,108,1295,481,4,17,2,0.9258793773408763,0.8148104061678444,14268.852,4.1307726,10.326931476593018
3462,20000.0,13,98,1281,372,4,10,2,0.7537833775845888,0.875633475929361,18688.484,4.994469,12.486172914505005
3463,80000.0,13,98,1111,404,3,15,2,0.9553449969469012,0.9711683988658114,47300.523,2.6253512,6.5633779764175415
3464,20000.0,10,92,1157,385,3,14,2,0.8471756507680673,0.9157316890281691,21657.562,4.6359425,11.589856147766113
3465,16000.0,21,108,1297,306,1,7,2,0.7431168561099962,0.8339445809598534,13420.414,5.1391897,12.847974300384521
3466,12000.0,2,75,81,387,5,9,2,0.9600776276182312,0.9418264983533696,8307.373,5.276012,13.190029859542847
3467,80000.0,24,113,1331,367,5,4,2,0.7821294365869695,0.9215699604374051,53456.53,3.6788876,9.197219014167786
3468,40000.0,21,108,1297,56,1,16,2,0.8965191261397173,0.9786094608984596,31354.502,3.4690816,8.672704100608826
3469,16000.0,2,104,1297,375,3,15,2,0.7813240074395086,0.8142770406495456,14729.199,5.848622,14.621554613113403
3470,37000.0,23,110,494,395,5,21,2,0.98948773289173,0.9946006610964216,24917.818,3.298228,8.245570063591003
3471,30000.0,14,87,19,405,3,15,2,0.9851733640967147,0.9878790162862033,28085.336,4.3615904,10.90397596359253
3472,20000.0,10,92,68,405,3,15,2,0.9840150979250449,0.9822938100167304,13967.571,4.004764,10.011910200119019
3473,32000.0,21,108,1266,283,1,7,2,0.5149433236329709,0.7897703365076506,22532.152,3.3372824,8.34320604801178
3474,5000.0,21,108,1295,432,3,14,2,0.9185051765153006,0.5887483296302071,5616.1445,6.341411,15.853527784347534
3475,15000.0,14,87,962,450,1,7,2,0.8245355326576499,0.8755246086818526,13371.475,4.7727127,11.931781768798828
3476,15000.0,14,78,985,330,1,8,2,0.826901920067443,0.8894023107182165,13770.526,5.0352497,12.58812427520752
3477,140000.0,13,98,1430,377,5,20,2,0.7898940288405183,0.6559290403542345,39057.105,1.9571298,4.892824590206146
3478,20000.0,14,78,692,493,3,15,2,0.9527219003786582,0.9520393994821895,17575.396,3.5947945,8.98698627948761
3479,40000.0,13,98,1298,389,1,8,2,0.7144674255051475,0.7175460749827102,42230.9,3.398724,8.4968101978302
3480,15000.0,14,87,1276,394,3,15,2,0.5296694285204552,0.914403293324057,15048.175,4.54846,11.371150016784668
3481,15000.0,14,87,174,385,3,14,2,0.97916779988957,0.9796028154935971,13886.179,4.7689004,11.922250986099243
3482,20000.0,3,76,862,404,3,15,2,0.9369708349041858,0.9151451273291492,18680.639,4.955732,12.389329671859741
3483,2000.0,11,125,1295,4,1,8,2,0.9293232138086743,0.9111903849484645,1699.2273,6.293647,15.734117031097412
3484,30000.0,18,111,183,387,5,9,2,0.9800699971987573,0.98302184694548,17066.836,4.703778,11.75944447517395
3485,30000.0,20,101,1297,299,3,19,1,0.853412317481813,0.9038455545599646,23508.857,4.0462923,10.11573076248169
3486,20000.0,13,98,1393,463,3,15,2,0.655159281877092,0.8124674304794485,20575.78,3.7493966,9.373491406440735
3487,146700.0,13,91,1175,420,3,19,4,0.8849358386050513,0.9246245397183124,73006.55,2.3855584,5.963895916938782
3488,20000.0,21,108,787,335,3,13,2,0.9676660413823558,0.9726015649043305,19774.45,3.4412842,8.60321044921875
3489,24000.0,21,85,392,395,5,21,2,0.9876513016277123,0.9917149306913432,17307.584,4.3207426,10.801856517791748
3490,20000.0,4,66,546,405,3,15,2,0.951171004368733,0.9396549766434834,15941.075,4.054607,10.13651728630066
3491,10000.0,18,4,508,343,3,14,2,0.9037213525508201,0.9338061410111566,4648.5,5.403276,13.508189916610718
3492,15000.0,10,92,1297,511,3,15,2,0.8983275132915712,0.7461317647405284,13911.157,4.217295,10.543237924575806
3493,50000.0,14,87,1295,360,3,15,2,0.8568288359347546,0.8576548200094415,42140.684,2.5129542,6.282385587692261
3494,50001.0,17,71,1477,491,3,15,2,0.6226868270342678,0.8128737491126815,38937.41,2.8949144,7.2372859716415405
3495,15000.0,24,113,1172,340,3,14,2,0.6273903253196143,0.9615587229514461,10076.529,5.4804273,13.70106816291809
3496,20000.0,7,50,1295,392,4,11,2,0.759365761395368,0.8226025012026111,14341.768,4.577532,11.443829536437988
3497,15000.0,10,92,1391,355,1,16,2,0.7983180346015972,0.7028828072337262,11025.817,5.50873,13.771824836730957
3498,50001.0,21,108,1281,372,4,10,2,0.7846356347194602,0.8766016553723871,55798.56,3.0215766,7.553941607475281
3499,10000.0,26,119,346,457,3,14,2,0.9853765306533959,0.9875986353531508,8866.5,4.6714053,11.678513288497925
3500,35000.0,10,92,125,463,3,15,2,0.9828361980671811,0.9831455141824986,31677.08,3.4124694,8.531173467636108
3501,60000.0,13,91,1297,91,1,7,2,0.8317220727186937,0.8613505851114166,46788.844,2.4409606,6.102401614189148
3502,20000.0,8,122,1574,396,3,14,2,0.525608577234521,0.48734829905116284,15471.529,4.975879,12.439697980880737
